idImatge,IASid,FITXER,ORDRE,CREDITS,LLICENCIA
1,1,Agave_americana_'mediopicta'.jpg,4,Digigalos,CC BY-SA 4.0
2,1,Agave_americana_003.jpg,3,H. Zell,CC BY-SA 3.0
3,1,Agave_americana_MPizarro_1.jpg,1,IC5Team,
4,1,Agave_americana_MPizarro_2.jpg,2,IC5Team,
5,1,Agave_Collserola 023.JPG,5,IC5Team,
6,2,Ailanthus-altissima.jpg,2,Luis Fernández García,CC BY-SA 2.1 es
7,2,Ailant_Collserola_058.JPG,1,IC5Team,
8,2,Ailant_Collserola_100.JPG,3,IC5Team,
9,2,Ailant_Collserola_ 022.JPG,4,IC5Team,
10,6,Bec_de_corall_01.JPG,1,Juan Emilio,CC BY-SA 2.0 
11,6,Bec_de_corall_04.JPG,2,G. Campbell,CC BY-SA 3.0 
12,6,Bec_de_corall_06.JPG,3,André Simons,CC BY-SA 3.0 
13,3,Cabo_da_Roca08.jpg,3,Georges Jansoone,CC BY 2.5
14,3,Carpobrotus_acinaciforme-flower.jpg,2,Roger Rué,public domain
15,3,Carpobrotus_April_2008-1.jpg,1,Alvesgaspar,CC BY-SA 3.0
16,4,Cortaderia_selloana_1.jpg,3,IC5Team,
17,4,Cortaderia_selloana_3.jpg,2,IC5Team,
18,4,Cortaderia_selloana0.jpg,1,Kurt Stueber,CC BY-SA 3.0
19,19,Morrut_Palmeres_01.JPG,2,Juan Emilio,CC BY-SA 3.0 
20,19,Morrut_Palmeres_02.jpg,1,Juan Emilio,CC BY-SA 3.0 
21,19,Morrut_Palmeres_03.jpg,4,Jose Rocha,CC BY-SA 3.0 
22,19,Morrut_Palmeres_04.JPG,5,G. Campbell,CC BY-SA 3.0 
23,19,Morrut_Palmeres_05.jpg,3,Didier Descouens,CC BY-SA 3.0 
24,19,Morrut_Palmeres_07.jpg,6,André Simons,CC BY-SA 3.0 
25,12,Myiopsitta_monachus_1.JPG,3,IC5Team,
26,12,Myiopsitta_monachus_nid.JPG,2,Ben2,CC BY-SA 3.0 
27,12,Myiopsitta_monachus_-Old_San_Juan_-Puerto_Rico.jpg,1,Ujorge,CC BY-SA 3.0 
28,15,Opuntia_00149.jpg,2,IC5Team,
29,15,Opuntia_ficus-indica_Indian_Fig.jpg,1,Victor Korniyenko,CC BY-SA 3.0 
30,11,Senecio_angulatus_0940.JPG,1,IC5Team,
31,11,Senecio_angulatus_0941.JPG,2,IC5Team,
32,13,Parrot_India_3.jpg,2,Thomas Schoch,CC BY-SA 3.0 
33,13,PsittaculaKrameri_1231.JPG,1,IC5Team,
34,5,Cotonéaster_horizontal.JPG,1,Père Igor,CC BY-SA 3.0 
35,5,Cotonéaster_horizontal_10.JPG,2,Père Igor,CC BY-SA 3.0 
36,7,Dreissena_polymorpha3.jpg,2,Factumquintus,public domain
37,7,Zebra_mussel_GLERL_2.jpg,1,Neil916,public domain
38,7,MouleZébréeDreissena_polymorphaPieceOfCanalLocks.jpg,3,Lamiot,CC BY-SA 3.0 
39,8,Pomacea_P3240065.JPG,1,Miguel Ángel López,
40,8,Pomacea_P9050089.JPG,2,Miguel Ángel López,
41,9,Psittacula_eupatria_Jurong_Bird_Park.jpg,1,Peter Tan,CC BY-SA 2.0 
42,9,Psittacula_eupatria-Symbio_wildlife_park-NSW.jpg,2,Trevor Lawrie,CC BY-SA 2.0 
43,10,Heracleum_mantegazzianum_kemi.jpg,1,RicHard-59,CC BY-SA 4.0
44,10,Giant_hogweed_2.JPG,2,Natubico,CC BY-SA 3.0 
45,10,Heracleum_mantegazzianum_Sommer_&_Lever_(7567608538).jpg,3,Udo Schmidt,CC BY-SA 2.0 
46,10,Heracleum_mantegazzianum_Reuzenberenklauw_vruchten.jpg,4,Rasbak,CC BY-SA 3.0 
47,14,Nutria_Myocastor_coypus_Wildpark_Poing-03.jpg,1,Rufus46,CC BY-SA 3.0 
48,14,Ragondins_en_Camargue.jpg,2,bibendum84,CC BY-SA 2.0 
49,14,Ragondins.jpg,3,Tangopaso,public domain
50,16,Phytolacca_americana_Chocowinity_NC.jpg,1,Luca Masters,CC BY-SA 2.0 
51,16,Phytolacca_Roter_Bruch_Walldorf18.jpg,2,AnRo0002,CC0 1.0
52,17,Neovison_vison_quills.jpg,2,Gouldingken,CC BY-SA 4.0
53,17,Neovison_vison_PP.jpg,1,Cephas,CC BY-SA 3.0 
54,17,Wild_mink_crossing_the_Auldhouseburn_Road_-_geograph.org.uk_-_573536.jpg,3,Elliott Simpson,CC BY-SA 2.0 
55,18,Procyon_lotor_raccoon.jpg,2,"Menke Dave, U.S. Fish and Wildlife Service",public domain
56,18,Procyon_lotor_(6246690419).jpg,3,Donald Hobern,CC BY-SA 2.0 
57,18,Procyon_lotor_(Common_raccoon).jpg,1,Bastique,CC BY-SA 3.0 
